位置,房屋信息,单价元/平,经度,纬度,GCJ02经度,GCJ02纬度,总价/万元
广东省深圳市盛世鹏程,3室2厅|78.07平米|西南|精装|33层|2005年|塔楼,82700,114.10433257743934,22.56292227579724,114.09786270667944,22.556786421365423,996.5483870967741
广东省深圳市城市主场,1室0厅|46.1平米|东北|精装|高楼层(共33层)|2005年|塔楼,60521,114.10232953581384,22.564140866209065,114.09585177991931,22.558038380293187,346.6
广东省深圳市岭尚时代园,2室1厅|51.42平米|北|精装|高楼层(共27层)|2007年|板塔结合,66123,114.10420528754862,22.570006551617293,114.09772777698326,22.563871362137736,401.9642857142857
广东省深圳市旭飞花园,1室0厅|15.4平米|南|其他|高楼层(共9层)|1998年|板楼,83700,113.83227841823806,22.69828791231112,113.82570166639864,22.69261153300066,214.14864864864865
广东省深圳市八卦岭宿舍,1室1厅|27.44平米|南|精装|中楼层(共7层)|1985年|板楼,52114,114.10910069325416,22.56651343591067,114.10264165010172,22.560303518912267,220.66666666666666
广东省深圳市鹏益花园,2室1厅|73.02平米|南|精装|低楼层(共24层)|1995年|板塔结合,38346,114.10121958952608,22.566280068862536,114.09473585717798,22.56019628594697,313.1311475409836
广东省深圳市鹏盛村,1室0厅|33.74平米|南|其他|中楼层(共8层)|1992年|板塔结合,62241,114.10840908784228,22.563011886993547,114.10195165987656,22.556812609591876,252.8625
广东省深圳市深大电话公寓,3室2厅|93.69平米|东北|精装|高楼层(共27层)|1998年|板塔结合,48031,114.1092382238277,22.57236450219351,114.10277368503309,22.566151477732628,440.8333333333333
广东省深圳市庆安航空大厦,2室1厅|68.76平米|东|简装|高楼层(共21层)|1994年|板塔结合,55265,114.10256974270716,22.56999303554209,114.09608682335136,22.56388526926917,344.3333333333333
广东省深圳市合正瑞园,2室1厅|80.87平米|西|其他|低楼层(共26层)|2007年|板塔结合,75000,114.10854949299345,22.57061535763897,114.10208472869286,22.56441250958472,592.1111111111111
广东省深圳市意馨居,1室1厅|30.59平米|东南|精装|低楼层(共9层)|1999年|板塔结合,75000,114.10767436376592,22.57096952680857,114.1012067018916,22.56477948352349,243.16666666666666
广东省深圳市鹏盛年华,1室0厅|24.37平米|东|精装|低楼层(共25层)|2003年|板塔结合,71100,114.10708507535156,22.56308113955367,114.10062367693774,22.55690157952213,229.0
广东省深圳市翠馨居花园,1室0厅|30.61平米|南|精装|高楼层(共9层)|2002年|板塔结合,86247,114.10932796454811,22.570352379134743,114.10286565676164,22.56413848580896,270.375
广东省深圳市先科机电大厦,1室0厅|38.86平米|南|简装|中楼层(共13层)|1999年|塔楼,46321,114.1100201987739,22.57026327335893,114.10355987252728,22.564039826316964,204.16666666666666
广东省深圳市光纤小区,1室1厅|40.04平米|南|其他|高楼层(共8层)|1991年|塔楼,42458,114.1096684223363,22.568749801189018,114.10320866681307,22.56253148458747,171.0
广东省深圳市清凤创投大厦,3室1厅|61.63平米|南|精装|高楼层(共24层)|2018年|塔楼,34399,114.10734998564637,22.56930162810469,114.10088303011172,22.563116790023965,208.0
广东省深圳市长乐花园,3室1厅|112.69平米|东南|精装|低楼层(共29层)|1994年|塔楼,85190,114.09766355733548,22.55976673932705,114.0911739674182,22.553747143158446,1137.0
广东省深圳市长城花园,2室1厅|85.3平米|东南|精装|高楼层(共17层)|1987年|塔楼,81829,114.09597465314673,22.55946827831709,114.08947937234356,22.55347899271104,881.9642857142857
广东省深圳市核电花园,3室2厅|123.97平米|南北|精装|低楼层(共19层)|1990年|板楼,80665,114.0965169601829,22.556597612418905,114.09002629405998,22.550599141495734,1002.35
广东省深圳市百花公寓二期,2室1厅|83.68平米|南|精装|高楼层(共28层)|1999年|塔楼,117300,114.09847670348282,22.559824395544133,114.09198992826464,22.553790265620453,1112.2222222222222
广东省深圳市长安花园,3室1厅|98.3平米|西南|精装|中楼层(共30层)|1995年|塔楼,86470,114.09684735694935,22.55862988057297,114.09035597234926,22.55262511564358,939.4705882352941
广东省深圳市长怡花园,3室2厅|101.2平米|西南|精装|中楼层(共29层)|2000年|塔楼,100000,114.09495831029304,22.55677267103376,114.08846197006244,22.55080207127866,1072.8
广东省深圳市南天二花园,2室1厅|81.46平米|南|精装|高楼层(共18层)|1993年|板塔结合,120000,114.10026576873592,22.55706271045583,114.09378787201209,22.55099740676923,1053.0625
广东省深圳市百花园二期,4室2厅|156平米|东|精装|低楼层(共33层)|2003年|塔楼,120000,114.1016323609078,22.558532840373804,114.09515780165344,22.55244343915968,1707.6666666666667
广东省深圳市百花园一期,3室2厅|109.51平米|北|其他|高楼层(共29层)|2000年|塔楼,120000,114.10153453543778,22.560413472139267,114.09505782373876,22.55432540292351,1093.0555555555557
广东省深圳市国城花园,3室1厅|95.25平米|北|精装|中楼层(共31层)|1998年|塔楼,131000,114.10158106766318,22.556938634403423,114.09510781830151,22.550850413524085,1123.2068965517242
广东省深圳市南天一花园,3室1厅|107平米|南|简装|低楼层(共17层)|1990年|板楼,89533,114.09995226011304,22.56062974438077,114.09346986905724,22.554569286490416,933.8125
广东省深圳市百花公寓一期,3室2厅|113.59平米|东南南|精装|中楼层(共32层)|1995年|塔楼,117300,114.10153453543778,22.560413472139267,114.09505782373876,22.55432540292351,1120.0
广东省深圳市长泰花园,3室2厅|101平米|南|精装|中楼层(共30层)|1997年|塔楼,100000,114.0940515607116,22.55785664432576,114.08755102562758,22.55190200633166,1164.875
广东省深圳市长城二花园,3室1厅|80.45平米|东南南|精装|高楼层(共18层)|1989年|板楼,99441,114.09460913894144,22.55844873324936,114.08811000844896,22.552484057722605,881.4285714285714
