位置,房屋信息,单价元/平,经度,纬度,WGS84经度,WGS84纬度,总价/万元
广东省深圳市盛世鹏程,3室2厅|78.07平米|西南|精装|33层|2005年|塔楼,82700,114.10433257743934,22.56292227579724,114.09273796483332,22.559466565548945,996.5483870967741
广东省深圳市城市主场,1室0厅|46.1平米|东北|精装|高楼层(共33层)|2005年|塔楼,60521,114.10232953581384,22.564140866209065,114.09072563418356,22.56071852722033,346.6
广东省深圳市岭尚时代园,2室1厅|51.42平米|北|精装|高楼层(共27层)|2007年|板塔结合,66123,114.10420528754862,22.570006551617293,114.0926024782403,22.566550864799265,401.9642857142857
广东省深圳市旭飞花园,1室0厅|15.4平米|南|其他|高楼层(共9层)|1998年|板楼,83700,113.83227841823806,22.69828791231112,113.82067252955436,22.69554559080949,214.14864864864865
广东省深圳市八卦岭宿舍,1室1厅|27.44平米|南|精装|中楼层(共7层)|1985年|板楼,52114,114.10910069325416,22.56651343591067,114.09752057912549,22.56298379583989,220.66666666666666
广东省深圳市鹏益花园,2室1厅|73.02平米|南|精装|低楼层(共24层)|1995年|板塔结合,38346,114.10121958952608,22.566280068862536,114.0896089193876,22.562876379456743,313.1311475409836
广东省深圳市鹏盛村,1室0厅|33.74平米|南|其他|中楼层(共8层)|1992年|板塔结合,62241,114.10840908784228,22.563011886993547,114.09683018820763,22.559493070366607,252.8625
广东省深圳市深大电话公寓,3室2厅|93.69平米|东北|精装|高楼层(共27层)|1998年|板塔结合,48031,114.1092382238277,22.57236450219351,114.09765235536592,22.56883122778237,440.8333333333333
广东省深圳市庆安航空大厦,2室1厅|68.76平米|东|简装|高楼层(共21层)|1994年|板塔结合,55265,114.10256974270716,22.56999303554209,114.09096044081669,22.566564858115274,344.3333333333333
广东省深圳市合正瑞园,2室1厅|80.87平米|西|其他|低楼层(共26层)|2007年|板塔结合,75000,114.10854949299345,22.57061535763897,114.09696288084196,22.567092299867884,592.1111111111111
